TestTakersPercentage,ELA8thGrade4s,Math8thGrade4s,Average Math Proficiency,Economic Need Index,District,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - White,Average ELA Proficiency,NumSHSATTestTakers,Student Attendance Rate,Percent of Students Chronically Absent,Percent Black / Hispanic,Percent Asian,Percent White,Percent Hispanic,Rigorous Instruction %,Strong Family-Community Ties %
0.7404129793510325,0.7587209302325582,0.9203539823008849,4.19,0.48,20.0,0.0,0.0,246.0,0.0,59.0,3.83,251,0.98,0.02,0.07,0.69,0.24,0.06,0.92,0.76
0.9180327868852459,0.5508684863523573,0.5710382513661202,3.71,0.311,21.0,5.0,4.0,98.0,3.0,99.0,3.53,336,0.96,0.07,0.12,0.28,0.54,0.05,0.88,0.73
7.5588235294117645,0.4117647058823529,0.029411764705882353,3.7,0.221,3.0,0.0,0.0,0.0,0.0,0.0,3.46,257,0.96,0.05,0.2,0.09,0.64,0.12,0.85,0.84
1.75,0.47307692307692306,0.23125,3.49,0.248,15.0,5.0,5.0,0.0,0.0,22.0,3.5,280,0.97,0.03,0.29,0.12,0.57,0.19,0.87,0.74
3.880952380952381,0.5235294117647059,0.16666666666666666,3.94,0.308,2.0,0.0,0.0,3.0,0.0,3.0,3.62,163,0.98,0.02,0.1,0.47,0.34,0.07,0.88,0.85
0.8211920529801324,0.3915929203539823,0.5231788079470199,3.8,0.445,21.0,0.0,12.0,95.0,0.0,126.0,3.47,372,0.96,0.08,0.13,0.27,0.59,0.1,0.94,0.7
0.9740634005763689,0.2813953488372093,0.20461095100864554,3.36,0.5579999999999999,20.0,0.0,4.0,54.0,0.0,13.0,3.13,338,0.97,0.07,0.14,0.46,0.39,0.14,0.92,0.7
1.059090909090909,0.3721590909090909,0.24545454545454545,3.58,0.258,26.0,0.0,3.0,47.0,0.0,4.0,3.29,233,0.98,0.04,0.15,0.66,0.18,0.1,0.85,0.73
0.7020785219399538,0.2828507795100223,0.39260969976905313,3.41,0.39899999999999997,26.0,0.0,8.0,153.0,0.0,7.0,3.1,304,0.97,0.05,0.17,0.68,0.14,0.11,0.88,0.75
0.6112469437652812,0.2476007677543186,0.21271393643031786,3.29,0.44299999999999995,25.0,1.0,11.0,67.0,0.0,7.0,2.92,250,0.96,0.1,0.32,0.55,0.12,0.29,0.89,0.71
1.0,0.5416666666666666,0.0,4.03,0.257,1.0,0.0,0.0,0.0,0.0,0.0,3.83,126,0.97,0.03,0.2,0.33,0.42,0.11,0.81,0.81
0.6424116424116424,0.23319327731092437,0.39293139293139295,3.28,0.622,20.0,0.0,12.0,136.0,0.0,39.0,2.92,309,0.96,0.12,0.23,0.45,0.32,0.22,0.95,0.69
1.3964497041420119,0.24057971014492754,0.15976331360946747,3.46,0.27399999999999997,26.0,0.0,0.0,24.0,0.0,3.0,3.15,236,0.97,0.05,0.19,0.61,0.2,0.14,0.88,0.72
1.0,0.359504132231405,0.0,3.66,0.209,26.0,0.0,0.0,0.0,0.0,0.0,3.27,211,0.98,0.04,0.14,0.62,0.23,0.12,0.87,0.73
0.5996758508914101,0.2913907284768212,0.37925445705024313,3.32,0.46299999999999997,22.0,23.0,0.0,96.0,0.0,109.0,3.09,370,0.96,0.1,0.28,0.25,0.45,0.11,0.88,0.73
0.7655786350148368,0.30751708428246016,0.27002967359050445,3.34,0.36,2.0,4.0,12.0,30.0,0.0,43.0,3.08,258,0.96,0.09,0.27,0.28,0.42,0.19,0.85,0.76
0.8493150684931506,0.6027397260273972,0.6232876712328768,3.94,0.10400000000000001,2.0,2.0,9.0,18.0,0.0,57.0,3.66,124,0.98,0.02,0.12,0.15,0.66,0.09,0.92,0.82
0.6070878274268104,0.1826625386996904,0.24807395993836673,2.94,0.573,24.0,0.0,54.0,77.0,0.0,29.0,2.7,394,0.95,0.12,0.6,0.27,0.13,0.59,0.85,0.71
1.44,0.6974789915966386,0.41333333333333333,3.63,0.131,2.0,0.0,2.0,12.0,0.0,17.0,3.75,108,0.97,0.05,0.13,0.19,0.63,0.09,0.93,0.88
1.0,0.7,0.0,4.07,0.276,30.0,0.0,0.0,0.0,0.0,0.0,3.91,94,0.98,0.01,0.17,0.49,0.31,0.15,0.88,0.7
0.9043478260869565,0.39574468085106385,0.11304347826086956,3.38,0.436,24.0,0.0,4.0,3.0,0.0,6.0,3.13,104,0.95,0.13,0.32,0.25,0.42,0.3,0.89,0.75
1.0,0.819672131147541,0.0,4.15,0.134,3.0,0.0,0.0,0.0,0.0,0.0,3.93,75,0.98,0.01,0.13,0.28,0.53,0.09,0.9,0.93
0.4523076923076923,0.2345679012345679,0.24307692307692308,3.07,0.34,25.0,0.0,9.0,52.0,0.0,17.0,2.87,147,0.95,0.12,0.31,0.35,0.33,0.29,0.86,0.75
0.5014577259475219,0.1875,0.2653061224489796,3.03,0.37200000000000005,28.0,3.0,16.0,45.0,0.0,26.0,2.85,172,0.95,0.12,0.35,0.33,0.29,0.28,0.86,0.7
0.5025906735751295,0.1994750656167979,0.3911917098445596,3.22,0.562,25.0,1.0,6.0,141.0,0.0,1.0,2.72,194,0.96,0.13,0.25,0.73,0.02,0.17,0.78,0.66
1.2206572769953052,0.21069182389937108,0.107981220657277,3.25,0.522,2.0,0.0,2.0,17.0,0.0,4.0,3.05,260,0.96,0.11,0.29,0.4,0.28,0.21,0.87,0.7
0.9360902255639098,0.327313769751693,0.06390977443609022,3.19,0.408,28.0,3.0,2.0,8.0,0.0,4.0,2.95,249,0.95,0.12,0.33,0.24,0.41,0.23,0.91,0.72
2.7916666666666665,0.5225225225225225,0.020833333333333332,3.6,0.244,15.0,0.0,1.0,0.0,0.0,0.0,3.42,134,0.96,0.07,0.37,0.08,0.52,0.2,0.87,0.88
1.0,0.7934782608695652,0.0,3.52,0.42100000000000004,30.0,0.0,0.0,0.0,0.0,0.0,3.38,74,0.96,0.08,0.27,0.3,0.39,0.21,0.9,0.78
1.0,0.0,0.0,3.68,0.209,20.0,0.0,0.0,0.0,0.0,0.0,3.47,80,0.96,0.05,0.1,0.18,0.71,0.05,0.91,0.9
0.48881789137380194,0.22954545454545455,0.0926517571884984,3.16,0.207,31.0,0.0,2.0,9.0,0.0,16.0,3.05,153,0.95,0.12,0.11,0.09,0.79,0.1,0.92,0.74
0.5387755102040817,0.17825311942959002,0.12448979591836734,2.99,0.643,24.0,0.0,12.0,47.0,0.0,2.0,2.84,264,0.96,0.1,0.54,0.44,0.02,0.52,0.82,0.68
0.9338842975206612,0.1456953642384106,0.10743801652892562,3.03,0.706,20.0,0.0,0.0,8.0,0.0,3.0,2.74,113,0.97,0.09,0.29,0.43,0.27,0.28,0.93,0.8
0.7838616714697406,0.09937888198757763,0.020172910662824207,2.96,0.615,24.0,0.0,3.0,4.0,0.0,0.0,2.65,272,0.96,0.1,0.54,0.4,0.05,0.53,0.9,0.73
0.9947368421052631,0.2563291139240506,0.04736842105263158,3.08,0.271,26.0,0.0,0.0,9.0,0.0,0.0,2.96,189,0.97,0.06,0.23,0.62,0.13,0.13,0.86,0.73
0.43073047858942065,0.17585301837270342,0.24181360201511334,2.97,0.631,21.0,1.0,2.0,60.0,0.0,31.0,2.72,171,0.94,0.19,0.29,0.38,0.31,0.22,0.81,0.69
0.5856573705179283,0.2809917355371901,0.35856573705179284,3.23,0.336,25.0,0.0,0.0,69.0,0.0,16.0,2.95,147,0.97,0.06,0.25,0.5,0.24,0.24,0.87,0.69
0.823170731707317,0.10882352941176471,0.13719512195121952,2.59,0.843,10.0,9.0,17.0,14.0,0.0,3.0,2.54,270,0.92,0.26,0.81,0.15,0.03,0.6,0.84,0.69
1.0,0.5961538461538461,0.0,3.89,0.435,4.0,0.0,0.0,0.0,0.0,0.0,3.64,54,0.97,0.05,0.44,0.34,0.15,0.19,0.92,0.87
1.0,0.6419753086419753,0.0,3.85,0.40299999999999997,27.0,0.0,0.0,0.0,0.0,0.0,3.7,104,0.97,0.05,0.37,0.21,0.41,0.18,0.93,0.79
0.44146341463414634,0.0759493670886076,0.3024390243902439,2.81,0.828,20.0,1.0,18.0,97.0,0.0,8.0,2.42,181,0.95,0.12,0.45,0.49,0.06,0.44,0.83,0.67
0.5378590078328982,0.21158690176322417,0.2349869451697128,3.2,0.5539999999999999,30.0,0.0,29.0,24.0,0.0,31.0,2.91,206,0.97,0.06,0.59,0.14,0.27,0.48,0.94,0.75
0.8252788104089219,0.087527352297593,0.011152416356877323,2.63,0.6779999999999999,14.0,0.0,3.0,0.0,0.0,0.0,2.59,222,0.95,0.14,0.8,0.07,0.13,0.62,0.87,0.78
1.0,0.0,0.0,3.99,0.259,30.0,0.0,0.0,0.0,0.0,0.0,3.73,39,0.96,0.04,0.14,0.45,0.31,0.09,0.94,0.93
0.3850415512465374,0.15064935064935064,0.14127423822714683,2.79,0.366,31.0,1.0,5.0,30.0,0.0,15.0,2.83,139,0.94,0.17,0.29,0.2,0.5,0.24,0.89,0.69
0.48606811145510836,0.1724137931034483,0.2755417956656347,3.12,0.601,30.0,0.0,32.0,48.0,0.0,8.0,2.79,157,0.96,0.08,0.57,0.37,0.05,0.56,0.9,0.74
0.48295454545454547,0.20555555555555555,0.24431818181818182,3.03,0.513,30.0,0.0,24.0,36.0,0.0,25.0,2.87,170,0.95,0.12,0.41,0.23,0.34,0.38,0.89,0.73
0.44772727272727275,0.10653753026634383,0.18636363636363637,2.83,0.731,20.0,0.0,9.0,66.0,0.0,0.0,2.49,197,0.96,0.11,0.25,0.6,0.16,0.24,0.85,0.68
1.8617021276595744,0.1111111111111111,0.010638297872340425,2.64,0.628,28.0,0.0,1.0,0.0,0.0,0.0,2.64,175,0.93,0.19,0.55,0.37,0.06,0.41,0.91,0.75
1.0,0.5180722891566265,0.0,3.73,0.507,5.0,0.0,0.0,0.0,0.0,0.0,3.47,42,0.98,0.01,0.65,0.12,0.2,0.44,0.87,0.84
0.7439024390243902,0.5119047619047619,0.3170731707317073,3.53,0.41,28.0,3.0,0.0,20.0,0.0,0.0,3.43,61,0.98,0.01,0.46,0.47,0.03,0.11,0.85,0.66
1.3958333333333333,0.5,0.5833333333333334,3.63,0.5589999999999999,1.0,0.0,0.0,25.0,0.0,0.0,3.24,67,0.98,0.02,0.15,0.71,0.09,0.12,0.9,0.83
0.4543147208121827,0.13980263157894737,0.007614213197969543,2.81,0.541,27.0,0.0,0.0,2.0,0.0,0.0,2.68,179,0.93,0.24,0.37,0.54,0.02,0.32,0.91,0.74
1.6470588235294117,0.45901639344262296,0.058823529411764705,3.32,0.114,2.0,0.0,0.0,0.0,0.0,1.0,3.16,56,0.96,0.08,0.15,0.21,0.56,0.11,0.92,0.9
