DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,Intermediate School 187,The Christa McAuliffe School,251,205,75%,8%,,,,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,332000010187.0,20.0,40.627846999999996,-74.004003,"1171 65TH ST BROOKLYN, NY 11219",BROOKLYN,11219.0,"06,07,08",06,08,No,0.48,,2%,69%,1%,6%,7%,24%,98%,2%,92%,Exceeding Target,91%,Exceeding Target,92%,Exceeding Target,90%,Exceeding Target,76%,Approaching Target,93%,Exceeding Target,Exceeding Target,3.83,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,225.0,0.0,0.0,0.0,167.0,50.0,0.0,0.0,140.0,279.0,261.0,0.0,0.0,0.0,194.0,58.0,0.0,0.0,167.0,324.0,226.0,0.0,0.0,0.0,154.0,61.0,0.0,0.0,121.0,324.0,304.0,0.0,0.0,0.0,206.0,83.0,0.0,0.0,166.0,344.0,261.0,0.0,0.0,0.0,203.0,55.0,0.0,0.0,159.0,339.0,312.0,0.0,0.0,0.0,246.0,59.0,0.0,0.0,196.0
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,Intermediate School 239,The Mark Twain Intermediate School for the Gifted and Talented,336,196,46%,13%,,,,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,332100010239.0,21.0,40.57866,-73.992391,"2401 NEPTUNE AVE BROOKLYN, NY 11224",BROOKLYN,11224.0,"06,07,08",06,08,No,0.311,,1%,28%,7%,5%,12%,54%,96%,7%,88%,Meeting Target,89%,Exceeding Target,87%,Meeting Target,86%,Meeting Target,73%,Approaching Target,91%,Meeting Target,Meeting Target,3.53,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,235.0,0.0,9.0,7.0,93.0,110.0,16.0,0.0,57.0,418.0,312.0,0.0,9.0,11.0,121.0,145.0,26.0,0.0,85.0,355.0,175.0,0.0,5.0,4.0,45.0,110.0,11.0,0.0,32.0,352.0,205.0,0.0,5.0,6.0,64.0,119.0,11.0,0.0,44.0,403.0,222.0,0.0,10.0,5.0,87.0,116.0,4.0,0.0,65.0,366.0,209.0,0.0,5.0,4.0,98.0,99.0,3.0,0.0,65.0
J.H.S. 054 BOOKER T. WASHINGTON,Junior High School 54,The Booker T. Washington School,257,150,53%,23%,,,,J.H.S. 054 BOOKER T. WASHINGTON,310300010054.0,3.0,40.800512,-73.962802,"103 W 107TH ST NEW YORK, NY 10025",NEW YORK,10025.0,"06,07,08",06,08,No,0.221,,2%,9%,8%,12%,20%,64%,96%,5%,85%,,83%,,87%,,80%,Approaching Target,84%,Meeting Target,90%,Meeting Target,Exceeding Target,3.46,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,141.0,0.0,5.0,10.0,20.0,93.0,13.0,0.0,13.0,292.0,202.0,0.0,5.0,13.0,28.0,137.0,19.0,0.0,19.0,250.0,135.0,0.0,4.0,9.0,16.0,101.0,0.0,0.0,14.0,251.0,170.0,0.0,5.0,6.0,23.0,129.0,0.0,0.0,17.0,238.0,98.0,0.0,0.0,9.0,0.0,76.0,6.0,0.0,8.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M.S. 51 WILLIAM ALEXANDER,Midde School 51,The William Alexander School,280,122,33%,28%,,,,M.S. 51 WILLIAM ALEXANDER,331500010051.0,15.0,40.67218,-73.984625,"350 5TH AVE BROOKLYN, NY 11215",BROOKLYN,11215.0,"06,07,08",06,08,No,0.248,,2%,12%,10%,19%,29%,57%,97%,3%,87%,Exceeding Target,88%,Meeting Target,89%,Exceeding Target,85%,Meeting Target,74%,Approaching Target,90%,Meeting Target,Exceeding Target,3.5,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,173.0,0.0,7.0,23.0,27.0,107.0,9.0,0.0,30.0,342.0,236.0,0.0,8.0,35.0,43.0,138.0,12.0,2.0,42.0,354.0,186.0,0.0,8.0,12.0,27.0,134.0,0.0,0.0,13.0,354.0,188.0,0.0,5.0,10.0,28.0,140.0,0.0,0.0,15.0,260.0,123.0,0.0,0.0,15.0,20.0,74.0,0.0,0.0,24.0,160.0,37.0,0.0,5.0,5.0,0.0,22.0,0.0,0.0,8.0
NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,,New York City Lab Middle School for Collaborative Studies,163,113,62%,8%,,,,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,310200010312.0,2.0,40.742571000000005,-74.002371,"333 W 17TH ST NEW YORK, NY 10011",NEW YORK,10011.0,"06,07,08",06,08,No,0.308,,1%,47%,2%,7%,10%,34%,98%,2%,88%,Meeting Target,91%,Exceeding Target,90%,Exceeding Target,83%,Meeting Target,85%,Meeting Target,92%,Meeting Target,Exceeding Target,3.62,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,111.0,0.0,0.0,0.0,58.0,37.0,12.0,0.0,31.0,188.0,163.0,0.0,0.0,0.0,84.0,53.0,0.0,0.0,46.0,173.0,85.0,0.0,0.0,0.0,45.0,27.0,8.0,0.0,27.0,173.0,130.0,0.0,0.0,0.0,74.0,41.0,11.0,0.0,43.0,170.0,89.0,0.0,0.0,0.0,43.0,29.0,9.0,0.0,24.0,42.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0
I.S. 98 BAY ACADEMY,Intermediate School 98,The Bay Academy School,372,104,21%,12%,,,,I.S. 98 BAY ACADEMY,332100010098.0,21.0,40.583765,-73.95401600000001,"1401 EMMONS AVE BROOKLYN, NY 11235",BROOKLYN,11235.0,"06,07,08",06,08,No,0.445,,1%,27%,3%,10%,13%,59%,96%,8%,94%,Exceeding Target,96%,Exceeding Target,89%,Meeting Target,91%,Exceeding Target,70%,Approaching Target,94%,Meeting Target,Exceeding Target,3.47,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,311.0,0.0,4.0,14.0,97.0,191.0,0.0,0.0,176.0,508.0,370.0,0.0,4.0,18.0,116.0,226.0,0.0,2.0,209.0,489.0,238.0,0.0,2.0,16.0,67.0,148.0,0.0,0.0,126.0,487.0,303.0,0.0,5.0,18.0,94.0,176.0,0.0,0.0,163.0,452.0,177.0,0.0,0.0,18.0,62.0,95.0,0.0,0.0,107.0,453.0,237.0,0.0,0.0,12.0,95.0,126.0,0.0,0.0,133.0
J.H.S. 201 THE DYKER HEIGHTS,Junior High School 201,The Dyker Heights School,338,101,19%,16%,,,,J.H.S. 201 THE DYKER HEIGHTS,332000010201.0,20.0,40.618745000000004,-74.01331,"8010 12TH AVE BROOKLYN, NY 11228",BROOKLYN,11228.0,"06,07,08",06,08,No,0.5579999999999999,,8%,46%,0%,14%,14%,39%,97%,7%,92%,Exceeding Target,94%,Exceeding Target,88%,Exceeding Target,87%,Meeting Target,70%,Approaching Target,94%,Exceeding Target,Exceeding Target,3.13,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,168.0,0.0,0.0,11.0,103.0,53.0,0.0,0.0,118.0,500.0,228.0,0.0,0.0,13.0,157.0,55.0,0.0,2.0,160.0,476.0,102.0,0.0,0.0,0.0,59.0,35.0,0.0,1.0,67.0,486.0,214.0,0.0,0.0,0.0,146.0,57.0,0.0,4.0,150.0,430.0,121.0,0.0,0.0,6.0,68.0,47.0,0.0,0.0,86.0,347.0,71.0,0.0,0.0,4.0,54.0,13.0,0.0,2.0,58.0
J.H.S. 074 NATHANIEL HAWTHORNE,Junior High School 74,The Nathaniel Hawthorne School,233,95,23%,15%,,,,J.H.S. 074 NATHANIEL HAWTHORNE,342600010074.0,26.0,40.758542999999996,-73.77396999999999,"61-15 OCEANIA ST BAYSIDE, NY 11361",BAYSIDE,11361.0,"06,07,08",06,08,No,0.258,,4%,66%,5%,10%,15%,18%,98%,4%,85%,Meeting Target,87%,Exceeding Target,85%,Exceeding Target,87%,Meeting Target,73%,Approaching Target,88%,Meeting Target,Exceeding Target,3.29,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,151.0,0.0,0.0,14.0,117.0,13.0,0.0,0.0,56.0,356.0,222.0,0.0,0.0,14.0,186.0,17.0,0.0,9.0,95.0,367.0,114.0,0.0,1.0,3.0,83.0,25.0,2.0,0.0,42.0,374.0,198.0,0.0,1.0,3.0,157.0,34.0,3.0,3.0,78.0,352.0,131.0,0.0,0.0,4.0,101.0,22.0,0.0,1.0,59.0,220.0,54.0,0.0,0.0,3.0,47.0,4.0,0.0,5.0,34.0
J.H.S. 216 GEORGE J. RYAN,Junior High School 216,The George J. Ryan School,304,95,19%,18%,,,,J.H.S. 216 GEORGE J. RYAN,342600010216.0,26.0,40.73726,-73.79446300000001,"64-20 175TH ST FLUSHING, NY 11365",FLUSHING,11365.0,"06,07,08",06,08,No,0.39899999999999997,,8%,68%,6%,11%,17%,14%,97%,5%,88%,Exceeding Target,85%,Exceeding Target,85%,Exceeding Target,81%,Meeting Target,75%,Approaching Target,86%,Approaching Target,Exceeding Target,3.1,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,170.0,0.0,7.0,11.0,129.0,20.0,0.0,0.0,84.0,457.0,242.0,0.0,5.0,11.0,200.0,23.0,0.0,7.0,135.0,430.0,96.0,0.0,4.0,9.0,74.0,7.0,0.0,1.0,50.0,438.0,161.0,0.0,7.0,10.0,128.0,14.0,0.0,4.0,87.0,449.0,127.0,0.0,0.0,9.0,108.0,6.0,0.0,0.0,74.0,433.0,170.0,0.0,0.0,8.0,153.0,7.0,0.0,9.0,98.0
J.H.S. 185 EDWARD BLEEKER,Junior High School 185,The Edward Bleeker School,250,93,17%,32%,,,,J.H.S. 185 EDWARD BLEEKER,342500010185.0,25.0,40.775121999999996,-73.8185,"147-26 25TH DR FLUSHING, NY 11354",FLUSHING,11354.0,"06,07,08",06,08,No,0.44299999999999995,,10%,55%,4%,29%,32%,12%,96%,10%,89%,Meeting Target,92%,Exceeding Target,87%,Meeting Target,87%,Meeting Target,71%,Approaching Target,93%,Meeting Target,Meeting Target,2.92,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,160.0,0.0,0.0,14.0,120.0,24.0,0.0,0.0,106.0,509.0,241.0,0.0,0.0,25.0,186.0,27.0,0.0,18.0,176.0,467.0,102.0,0.0,0.0,15.0,74.0,11.0,0.0,0.0,66.0,485.0,180.0,0.0,0.0,17.0,148.0,11.0,0.0,7.0,132.0,521.0,129.0,0.0,2.0,12.0,99.0,16.0,0.0,0.0,85.0,409.0,87.0,1.0,1.0,11.0,67.0,7.0,0.0,6.0,68.0
